Date,PS3 player count
5/7/2016,812600
5/8/2016,813400
5/9/2016,813900
5/10/2016,814500
5/11/2016,814900
5/12/2016,815400
5/13/2016,815800
5/14/2016,816600
5/15/2016,817800
5/16/2016,818900
5/17/2016,819400
5/18/2016,819900
5/19/2016,820400
5/20/2016,820900
5/21/2016,822200
5/22/2016,823200
5/23/2016,823700
5/24/2016,824400
5/25/2016,825000
5/26/2016,825400
5/27/2016,826000
5/28/2016,826900
5/29/2016,827800
5/30/2016,828300
5/31/2016,829000
6/1/2016,829700
6/2/2016,830400
6/3/2016,831100
6/4/2016,832300
6/5/2016,833100
6/6/2016,833700
6/7/2016,834400
6/8/2016,835000
6/9/2016,835800
6/10/2016,836500
6/11/2016,837600
6/12/2016,838900
6/13/2016,839600
6/14/2016,840400
6/15/2016,840900
6/16/2016,841400
6/17/2016,842300
6/18/2016,843500
6/19/2016,844300
6/20/2016,844800
6/21/2016,845500
6/22/2016,846100
6/23/2016,846600
6/24/2016,847400
6/25/2016,848800
6/26/2016,849800
6/27/2016,850600
6/28/2016,851400
6/29/2016,852400
6/30/2016,853400
7/1/2016,854700
7/2/2016,855900
7/3/2016,857900
7/4/2016,859000
7/5/2016,860200
7/6/2016,861400
7/7/2016,862700
7/8/2016,863700
7/9/2016,864800
7/10/2016,866200
7/11/2016,867700
7/12/2016,869100
7/13/2016,870400
7/14/2016,871200
7/15/2016,872100
7/16/2016,873300
7/17/2016,874800
7/18/2016,875500
7/19/2016,876300
7/20/2016,877300
7/21/2016,878300
7/22/2016,879300
7/23/2016,880100
7/24/2016,880900
7/25/2016,881800
7/26/2016,882600
7/27/2016,883500
7/28/2016,884600
7/29/2016,885500
7/30/2016,886700
7/31/2016,888100
8/1/2016,889300
8/2/2016,890300
8/3/2016,891100
8/4/2016,892200
8/5/2016,893400
8/6/2016,894500
8/7/2016,895900
8/8/2016,897000
8/9/2016,898600
8/10/2016,899700
8/11/2016,900700
8/12/2016,901500
8/13/2016,902700
8/14/2016,903600
8/15/2016,904500
8/16/2016,905100
8/17/2016,906000
8/18/2016,906900
8/19/2016,908100
8/20/2016,909500
8/21/2016,910700
8/22/2016,911300
